Display Name,Title,Summary,Featured,Event Start Date,Event End Date,Event Start Time,Event End Time,All Day Event,Default Image,Details,Location,Link Title,Link URL,Online Event Link Title,Online Event Link
CIRTL Monthly Meeting,CIRTL Monthly Meeting,"Monthly Center for the Integration of Research, Teaching and Learning (CIRT) cohort discussion to share ongoing program details and upcoming courses for new and current members.",N,5/28/25,5/28/25,12:00 PM,1:00 PM,N,Y,"Monthly Center for the Integration of Research, Teaching and Learning (CIRT) cohort discussion to share ongoing program details and upcoming courses for new and current members.",Virtual (Zoom),,,Register Now,https://utsa.zoom.us/meeting/register/3yFDZF4zT-6cwBoborN3FA
Downtown Campus Networking Event,Downtown Campus Networking Event,You're invited to celebrate the start of summer at our Downtown Campus Networking event to develop a professional network and build a community with your peers. ,N,6/5/25,6/5/25,4:30 PM,6:00 PM,N,Y,The UTSA Graduate School invites you to celebrate the start of the summer at our Downtown Campus Networking event! This is a perfect opportunity for graduate students to develop a professional network and build a community with their peers. ,Durango Building  1.116 - La Villita Room ,Register Now,https://utsa.az1.qualtrics.com/jfe/form/SV_096gBkH5gYFbubI,,https://utsa.az1.qualtrics.com/jfe/form/SV_096gBkH5gYFbubI
First Friday,First Friday,This signature Graduate School event at the UTSA 1604 campus is a great place to network with fellow graduate students and learn about resources.,N,6/6/25,6/6/25,9:00 AM,11:00 AM,N,Y,Kick off summer with us at First Friday! This signature Graduate School event is a great place to network with fellow graduate students and grab complimentary coffee and donuts. You will also receive information regarding Graduate School resources for your professional and career development.,H-E-B Student Union - Travis & Harris Room (HSU 2.202),Register Now,https://utsa.az1.qualtrics.com/jfe/form/SV_6SEQMLyykrpcu58,,https://utsa.az1.qualtrics.com/jfe/form/SV_6SEQMLyykrpcu58
Dissertation Writing Camp (STEM),Dissertation Writing Camp (STEM),"The Dissertation Writing Camp provides intensive, focused writing time in a quiet and supportive environment to help you make significant progress through the difficult stages of writing your doctoral dissertation. ",N,6/23/25,6/26/25,9:00 AM,4:00 PM,N,Y,"The Dissertation Writing Camp provides intensive, focused writing time in a quiet and supportive environment to help you make significant progress through the difficult stages of writing your doctoral dissertation. This program is for doctoral students who are starting or have started the writing portion of their dissertation manuscript. It is strongly recommended that your dissertation proposal has been approved by your committee before taking part in this camp. The camp includes individual 30 minute faculty coaching sessions, writing support, and self-writing time for at least six hours per day.",John Peace Library - Assembly Room (JPL 4.04.22),,,,
CIRTL Teaching Philosophy Writing Workshop,CIRTL Teaching Philosophy Writing Workshop,A workshop for CIRTL members to construct their teaching statement and receive feedback from faculty.,N,6/25/25,6/25/25,12:00 PM,3:00 PM,N,Y,"A workshop for CIRTL members led by Dr. Jesus Romo, to construct their teaching statement and receive feedback from faculty.","Biotechnology, Science, and Engineering Buiding 2.102- Multipurpose Room ",Register Now,https://utsa.az1.qualtrics.com/jfe/form/SV_6Dz9eG4topQ4kUC,,https://utsa.az1.qualtrics.com/jfe/form/SV_6Dz9eG4topQ4kUC
Downtown Campus Networking Event,Downtown Campus Networking Event,Join us at our Downtown Campus Networking event  to develop a professional network and build a community with your peers. ,N,7/3/25,7/3/25,4:30 PM,6:00 PM,N,Y,Join us at our Downtown Campus Networking event! This is a perfect opportunity for graduate students and postdocs to develop a professional network and build a community with their peers. We look forward to seeing you there.,Durango Building  1.116 - La Villita Room ,Register Now,https://utsa.az1.qualtrics.com/jfe/form/SV_6GrH8nUGkeacK9w,,https://utsa.az1.qualtrics.com/jfe/form/SV_6GrH8nUGkeacK9w
First Friday,First Friday,This signature Graduate School event at the UTSA 1604 campus is a great place to network with fellow graduate students and learn about resources.,N,7/11/25,7/11/25,9:00 AM,11:00 AM,N,Y,This signature Graduate School event is a great opportunity to network with fellow graduate students while enjoying complimentary coffee and donuts. You will also receive information about Graduate School resources for your professional and career development.,H-E-B Student Union - Travis & Harris Room (HSU 2.202),Register Now,https://utsa.az1.qualtrics.com/jfe/form/SV_3CdzWHaJ7j9Q0nA,,https://utsa.az1.qualtrics.com/jfe/form/SV_3CdzWHaJ7j9Q0nA
"Dissertation Writing Camp (non-STEM)

",Dissertation Writing Camp (non-STEM),"The Dissertation Writing Camp provides intensive, focused writing time in a quiet and supportive environment to help you make significant progress through the difficult stages of writing your doctoral dissertation.",N,7/14/25,7/17/25,9:00 AM,4:00 PM,N,Y,"The Dissertation Writing Camp provides intensive, focused writing time in a quiet and supportive environment to help you make significant progress through the difficult stages of writing your doctoral dissertation. This program is for doctoral students who are starting or have started the writing portion of their dissertation manuscript. It is strongly recommended that your dissertation proposal has been approved by your committee before taking part in this camp. The camp includes individual 30 minute faculty coaching sessions, writing support, and self-writing time for at least six hours per day.",John Peace Library - Assembly Room (JPL 4.04.22),,,,
3MT Summer Bootcamp,3MT Summer Bootcamp,"The 3MT Bootcamp offers training and guidance on Three-Minute Thesis competition expectations, developing a 3MT slide, public presentation and speaking skills, and small group brainstorming sessions.",N,7/26/25,7/26/25,10:00 AM,12:00 PM,N,Y,"The 3MT Bootcamp offers training and guidance on Three-Minute Thesis competition expectations, developing a 3MT slide, public presentation and speaking skills, and small group brainstorming sessions. Attendance in the 3MT bootcamp is a mandatory requirement to participate in the October 2025 competition.",Virtual (Zoom),,,Register Now,https://utsa.zoom.us/meeting/register/v_mmfiOCQsG3y4iI2xSwfA
